protocol,normal_class,anomaly_classes,degradation,memory,threshold,method,auc,gap,fpr,tpr,f1,bacc,file
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",blur,clean,clean_fixed,PatchCore-CF,0.9730416666666667,0.9635941982269287,0.06,0.8516666666666667,0.891020052310375,0.8958333333333333,eurosat_forest_vegetation_forest_blur_clean_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",blur,clean,corruption_agnostic,PatchCore-AC,0.9730416666666667,1.7574801445007324,0.04,0.8233333333333334,0.883720930232558,0.8916666666666666,eurosat_forest_vegetation_forest_blur_clean_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",blur,mixed,clean_fixed,DRA-Inspect-CF,0.9808888888888889,1.2234365940093994,0.0,0.5633333333333334,0.720682302771855,0.7816666666666667,eurosat_forest_vegetation_forest_blur_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",blur,mixed,corruption_agnostic,DRA-Inspect-AC,0.9808888888888889,1.777984380722046,0.005,0.675,0.8035714285714285,0.835,eurosat_forest_vegetation_forest_blur_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",jpeg,clean,clean_fixed,PatchCore-CF,0.9535916666666666,0.8321850299835205,0.16,0.8966666666666666,0.8719611021069693,0.8683333333333333,eurosat_forest_vegetation_forest_jpeg_clean_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",jpeg,clean,corruption_agnostic,PatchCore-AC,0.9535916666666666,1.517805576324463,0.12833333333333333,0.88,0.8763485477178423,0.8758333333333334,eurosat_forest_vegetation_forest_jpeg_clean_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",jpeg,mixed,clean_fixed,DRA-Inspect-CF,0.9712555555555555,1.1385679244995117,0.05,0.8433333333333334,0.8908450704225352,0.8966666666666667,eurosat_forest_vegetation_forest_jpeg_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",jpeg,mixed,corruption_agnostic,DRA-Inspect-AC,0.9712555555555555,1.6546478271484375,0.09,0.895,0.9017632241813602,0.9025000000000001,eurosat_forest_vegetation_forest_jpeg_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",light,clean,clean_fixed,PatchCore-CF,0.9716944444444444,0.9838533401489258,0.03,0.7883333333333333,0.8670944087992668,0.8791666666666667,eurosat_forest_vegetation_forest_light_clean_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",light,clean,corruption_agnostic,PatchCore-AC,0.9716944444444444,1.7944303750991821,0.023333333333333334,0.765,0.8555452003727866,0.8708333333333333,eurosat_forest_vegetation_forest_light_clean_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",light,mixed,clean_fixed,DRA-Inspect-CF,0.9746222222222222,1.016183853149414,0.028333333333333332,0.8,0.8751139471285325,0.8858333333333334,eurosat_forest_vegetation_forest_light_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",light,mixed,corruption_agnostic,DRA-Inspect-AC,0.9746222222222222,1.4767903089523315,0.05,0.87,0.90625,0.9099999999999999,eurosat_forest_vegetation_forest_light_mixed_cal__core0p05__core005.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",lowres,clean,clean_fixed,PatchCore-CF,0.9691638888888889,0.9406816959381104,0.065,0.8483333333333334,0.886759581881533,0.8916666666666667,eurosat_forest_vegetation_forest_lowres_clean_cal__core0p05__core005.json
