method,ratio,auc,fpr,tpr,f1,bacc,bank_vectors,bank_mb,avg_inference_ms
PatchCore-CF,0.10,0.9582,0.0573,0.7148,0.8004,0.8287,37632,220.50,90.96
PatchCore-AC,0.10,0.9582,0.0536,0.7261,0.8122,0.8363,37632,220.50,90.96
DRA-Inspect-CF,0.10,0.9622,0.0221,0.5056,0.6198,0.7417,225792,1323.00,467.36
DRA-Inspect-AC,0.10,0.9622,0.0427,0.6546,0.7388,0.8059,225792,1323.00,467.36
PatchCore-CF,0.05,0.9568,0.0562,0.7040,0.7934,0.8239,18816,110.25,45.82
PatchCore-AC,0.05,0.9568,0.0519,0.7100,0.8017,0.8291,18816,110.25,45.82
DRA-Inspect-CF,0.05,0.9610,0.0216,0.4966,0.6138,0.7375,112896,661.50,237.86
DRA-Inspect-AC,0.05,0.9610,0.0432,0.6559,0.7415,0.8063,112896,661.50,237.86
PatchCore-CF,0.02,0.9552,0.0531,0.6764,0.7738,0.8117,7526,44.10,22.41
PatchCore-AC,0.02,0.9552,0.0526,0.7042,0.7972,0.8258,7526,44.10,22.41
DRA-Inspect-CF,0.02,0.9593,0.0211,0.4891,0.6106,0.7340,45158,264.60,99.39
DRA-Inspect-AC,0.02,0.9593,0.0426,0.6363,0.7285,0.7969,45158,264.60,99.39
PatchCore-CF,0.01,0.9533,0.0553,0.6766,0.7740,0.8106,3763,22.05,10.79
PatchCore-AC,0.01,0.9533,0.0532,0.6988,0.7940,0.8228,3763,22.05,10.79
DRA-Inspect-CF,0.01,0.9585,0.0206,0.4951,0.6193,0.7373,22579,132.30,53.66
DRA-Inspect-AC,0.01,0.9585,0.0418,0.6401,0.7341,0.7992,22579,132.30,53.66
