protocol,normal_class,anomaly_classes,degradation,threshold,method,auc,gap,fpr,tpr,f1,bacc,file
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",blur,clean_fixed,PaDiM-CF,0.9657277777777777,4.254274368286133,0.05,0.8033333333333333,0.8669064748201439,0.8766666666666667,eurosat_forest_vegetation_forest_blur_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",blur,corruption_agnostic,PaDiM-AC,0.9657277777777777,1.7127898931503296,0.011666666666666667,0.6666666666666666,0.7944389275074478,0.8274999999999999,eurosat_forest_vegetation_forest_blur_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",jpeg,clean_fixed,PaDiM-CF,0.9170194444444445,3.35402774810791,0.21333333333333335,0.8866666666666667,0.8444444444444444,0.8366666666666667,eurosat_forest_vegetation_forest_jpeg_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",jpeg,corruption_agnostic,PaDiM-AC,0.9170194444444445,1.3600724935531616,0.12166666666666667,0.78,0.8203330411919368,0.8291666666666666,eurosat_forest_vegetation_forest_jpeg_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",light,clean_fixed,PaDiM-CF,0.9721583333333333,4.327733039855957,0.021666666666666667,0.765,0.8563432835820896,0.8716666666666666,eurosat_forest_vegetation_forest_light_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",light,corruption_agnostic,PaDiM-AC,0.9721583333333333,1.7562999725341797,0.0033333333333333335,0.61,0.756198347107438,0.8033333333333333,eurosat_forest_vegetation_forest_light_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",lowres,clean_fixed,PaDiM-CF,0.9337388888888889,3.7010393142700195,0.11666666666666667,0.805,0.8378143972246315,0.8441666666666667,eurosat_forest_vegetation_forest_lowres_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",lowres,corruption_agnostic,PaDiM-AC,0.9337388888888889,1.4865355491638184,0.056666666666666664,0.665,0.7725072604065828,0.8041666666666667,eurosat_forest_vegetation_forest_lowres_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",noise,clean_fixed,PaDiM-CF,0.978,3.6469812393188477,0.09166666666666666,0.935,0.9226973684210528,0.9216666666666666,eurosat_forest_vegetation_forest_noise_padim_cal.json
vegetation_forest,Forest,"HerbaceousVegetation,Pasture,AnnualCrop",noise,corruption_agnostic,PaDiM-AC,0.978,1.4638705253601074,0.02,0.8183333333333334,0.8902991840435177,0.8991666666666667,eurosat_forest_vegetation_forest_noise_padim_cal.json
urban_residential,Residential,"Industrial,Highway",blur,clean_fixed,PaDiM-CF,0.9563611111111111,2.138805389404297,0.02666666666666667,0.675,0.7933398628795298,0.8241666666666667,eurosat_residential_urban_residential_blur_padim_cal.json
